KOT--> CNA
OKO--> UUU
SOK--> WNS
DOK--> TRX
MYSZ--> WCCG
IGLO--> YOYG
STRONA--> XEUUAU
SLON--> WVBY
AGA--> QIE
MUCHA--> FYDBZ
BEZWARUNKOWY--> YQRQXDMHHAOS
MIKROPROCESOR--> RKXETREBHGFBW
MAGNETYCZNY--> WYAUKDWWGTI
KAROLINA--> LWTZMEPL
PODLOGA--> MLWGODX
SAKSOFON--> GEWPZWCR
FRATKALE--> XGZMRSAD
NANIESIONO--> GZCPVLHDUF
ELASTYCZNY--> GDDULBERQA
MALGORZATA--> APEUDKNPMO
PRZYCHODNIA--> GMFCJJFYTMH
PRZEMYSLAW--> PPPKMWIRAU
AGNIESZKA--> LFXXPRJZL
UCZNIOWIE--> OYYZCKVUY
REKLAMA--> XKMQNSG
WIOLONCZELA--> NZSTFEGHVCE
DRUKARKA--> ONRVWOVW
STANISLAW--> MMMICLXVQ
CZASOPISMO--> MRTCGISKFY
SAMOCHOD--> SNYNSHBP
MARIUSZ--> EHDABER
EUGENIUSZ--> KYPGTMDUF
ALGORYTM--> NIYBOQGJ
ZBIGNIEW--> EQQRIDJL
PARASOLKA--> ADWPDRQZL
KATARZYNA--> QAYMTFYSM
RYSZARD--> QJJUCQO
ANASTAZJA--> OPPICXNLP
ALEKSANDRA--> XJFHQBKBSX
GENERATOR--> KHZVSSXRD
CALKOWANIE--> SFNBNAQSKV
MATYLDA--> MPEYAOA
KRYSTYNA--> MWLPBGPF
SKOMPLIKOWANY--> LNPFSMBNPPDOR
NATURALNY--> APPSHCYCU
PROCESOR--> TUNMIVNB
HERMETYCZNY--> PFRNMUYDHOY
ADMINISTRATOR--> WKNLJPTWNHURN
WYPROWADZENIE--> QDYLEQFMTUHNN
MONOKRYSZTAL--> GYIGEBTKTDVD
POLPRZEWODNIK--> VHARCCKPDFYLQ
TRANZYSTOR--> WSQILBTJJD
PODSTAWOWY--> TDLKXPEGAN
ARCHITEKTURA--> GZIHOZMQTAXI
PARAMETR--> EZJTBGIQ
POJEDYNCZY--> XJZSJSVXPM
FUNKCJONALNY--> AWNJXLOMVNNX
PRZEZNACZENIE--> WFDCGBEAGSRGL
ARYTMETYCZNY--> ZKJSFPSRNYGJ
USPRAWNIENIE--> YEVHEITYIZOU
KOMPUTERY--> ELZBZOYOL
KOSZTOWNE--> CSQRXMORC
WIELORDZENIOWA--> SKFOMNFAHLEQXD
WPROWADZONY--> NQJFXSUAGEZ
SIERPIEN--> WBVYTBVU
TECHNOLOGICZNY--> SFDKNNMPJIBAOB
NAJWIEKSZY--> AFOJNJXXEL
ZAPREZENTOWAC--> DUHSRGIHLPJHG
JEDNOSTKA--> DRLIPMGSV
OPERACYJNY--> OYYSFWYSHZ
DODAWANIE--> NKYCOKJDG
ODEJMOWANIE--> FAVAJFNXEZB
ROZNICZKOWANIE--> BUUFZWJQJORHSK
LABORATORIUM--> GTGPMTYPMBZN
TECHNOLOGIA--> IAYGSDHKFNP
PIERWOWZOREM--> TAIUQSODRLIE
USZCZELNIENIE--> GOWCZFXJFENJQ
POWIERZCHNIA--> VPIDTXAOCCOB
STANOWISKU--> CPJPTGEBMZ
NAUCZYCIELE--> JHUYVFCEASE
OBROTOWYCH--> OHCOZZWENH
PRZETRZYMYWANIE--> PEOEGGZLBYJPNVT
BAGATELIZOWANA--> JJJOUTTRCCXPVJ
STOSUNKOWO--> IFPIGOAAXE
MINIMALNEMU--> MFRAMXPFEJY
EKOLOGICZNE--> ARJHVBEJUJL
DYNAMICZNE--> SIDIAXMPVS
ALUMINIUM--> IPGBQRUJU
WYPOLEROWANA--> XRTXMFKSFBOT
RAMIONACH--> LNBUIAPOB
NAJPOPULARNIEJSZY--> MPKRROJMCUMXFLVYN
PROWADZENIE--> PCVWLKZPUIP
ODPOWIEDNIA--> GFOQXCWFMKB
CYLINDER--> TVJZKBVO
DYSKIETKA--> MWWCLSCIE
MAGNETODYNAMICZNY--> TPJZIKVSBZEDPRCZC
KILKADZIESIAT--> EDNXUYBVYNKNN
MILISEKUNDA--> WVZSFSUHBNN
INFORMACJA--> YYFUHXAIZL
KONTROLUJE--> DHHABOENDL
ELEKTRONIKA--> TBLHVADDPHC
PROMIENIOWO--> WJYSAEUAYCG
ZINTEGROWANA--> DKMXUKTNAQRC
PRZYGOTOWUJE--> BVKIQVFSHETL
OGLOSZENIE--> SHSMRDFUGD
GIMNAZJUM--> COVYNVPDX
WSPOLCZESNY--> FTKOHQIFNNU
HUMANISTYCZNY--> XQMBOHIPYDAMO
ZAINTERESOWANIAMI--> IRGRCVPIBFUEWZYQR
MATEMATYCZNE--> YSQWBXFQZRCB
ODCZYT--> DLEDES
SONDA--> GYEAF
WYRAZ--> IELOZ
LITERA--> VJKYTW
NOS--> NKQ
BYK--> OXP
OSA--> ALX
OWOC--> ZQHR
KURA--> NSOZ
LIS--> MDO
