QGM--> KOT
ITKK--> PIES
ULJ--> COS
QEG--> NIC
ZFXG--> NUTA
XAX--> BUT
HWJE--> LUPA
EMKD--> ZUPA
MACPJ--> KWIAT
DOW--> CEL
AVDKAHAUFAC--> KONWERTEREM
QPUBRYGIINPHZP--> ZAAKCEPTOWANIA
OXBSAEAJDMN--> KOLOROWANIE
ANHSPZYQF--> PIERWOTNE
IIDXYAWQD--> KLASYCZNY
BSGYNOHBZ--> STOPOWYCH
JTUSTUZOAGHK--> PNEUMATYCZNE
BNQIXNINJOGU--> PODSTAWOWYCH
EWPYBHDJWM--> ROZPOZNAJE
FYHVNPPOSWZ--> POCHODZENIA
ZYKMOBLWSACV--> WYSZUKIWANIE
BLCQEDLSZMHB--> PRZEKAZYWANY
NBLWNMRXQ--> PRZYDATNE
OQTVAWTFQVNL--> AUTOMATYCZNE
KWWTLLOTTTBXINR--> PRZYGOTOWYWANIU
JOAYOAOQLU--> PRZERZUTKA
CJEAJEYVBLINP--> ROZPOZNAWANIE
DIVUIHAL--> PROGRAMU
RTLDKRSVFX--> ZAPISYWANE
EYPZVPGYVDOSE--> DOPASOWYWANIE
QMKJRBSFBRJ--> REJESTRACJI
TBXBBREUIJL--> TURBULENCJE
GYHZFFJSE--> KODOWANIA
INQCJJATZJSH--> ZINTEGROWANE
AQLCERHBCEDKRZUMU--> NAJPOPULARNIEJSZE
YKAMMTGHLTC--> MECHANICZNE
TYYMYZXIXULJ--> HYDRAULICZNE
SBKEGXTEJY--> PRZEDNIEGO
SGZHBLUDOABK--> ZASTOSOWANIE
QPZPEDTJRE--> TEKSTOWYCH
XBPPBBHIOK--> NATURALNEJ
JRRMNJVPZABT--> WYSZUKIWANIU
HHQCRMIEXVL--> KOMPUTERACH
TQMKKPJQBKUZ--> JEDNOCZESNYM
BXTGMHLAUXEMEH--> KONFIGUROWALNY
MXQGWXCADCLL--> KOMENTARZACH
LPJTDDMCPQB--> ZACHOWANIEM
CGYPCHUFYNA--> ZAOPATRZONY
PYPWJDYXUNP--> ROZPISANEGO
NCZHXJBWP--> SAMOCHODU
JGDKWXOPRBV--> RZECZYWISTY
IFZQEWCWUTJ--> ELEKTRYCZNY
RVGMRQUN--> OBUDOWIE
AWGYTSUVTL--> GUBERNATOR
KUTMEXZKJK--> KONWERTUJE
VGTRWTLJSGGTYN--> ZAAWANSOWANYCH
MGFMHTMCNCTS--> KONSTRUKTORA
EIJXYEOWUCCBLSPW--> POWIERZCHNIOWYCH
JYVLTSQBXXXVR--> ZLIKWIDOWANIE
YMGKNMHER--> HAMOWANIA
VOAGDUQLI--> PUNKTOWYM
WGHMLIIABQ--> SZKIELETEM
STOOEQTN--> SAMOLOTU
YIJCLJLHGCQ--> POPULARNYCH
BZEZMLNRU--> CESARZOWI
RQKWICONSQEKC--> PROGRAMOWANIA
IEOUJZBCUJ--> UDZIELANIE
WKKKOKLZL--> TABULACJI
KFHBSIZXMOXY--> POMOCNICZYCH
WRVBLZHWFV--> KOMPONENTY
HNODADGXM--> STANDARDY
QYRDKUCWXWS--> REGULARNYCH
FGBEDNAWRT--> KLAWISZOWY
GIEDLDUXALPCU--> UPRAWNIENIAMI
DJWOGNYXH--> DOWOLNYCH
UDIMUTPZGL--> WSTAWIANIA
IUORKKZEWC--> USTAWIENIA
OXFXFYLR--> NAZWISKU
CDPYIBRUYHZ--> NIEZNACZNIE
SWINRNBNGOK--> ORGANIZACJI
XQFWAVGRM--> POZOSTAJE
XMBTSLIUWVG--> DODATKOWYCH
MTKZBABZINR--> ZAPEWNIENIE
WOEQIUIWTLKUKC--> ZAKTUALIZOWANO
JQYAISYET--> ZAZWYCZAJ
VKUGNSIRLJ--> LECZNICZEJ
WILEUAPKUG--> STOSOWANIA
HDDYMNNZXT--> TOWARZYSZY
QGVPTFZE--> PODOBNYM
PWFKESWLUF--> ZAJMOWANEJ
TMYZJMACGICM--> ZASTOSOWANIA
ZJRPHGVUGJ--> POKRYWANIA
HDJIJDDBVVT--> SYSTEMOWEGO
QXLESFLNJ--> BIODROWYM
LXJNXDZNMW--> WSZYSTKICH
FEDYUYPSODY--> POWIERZCHNI
QDFLANBTGWRFJ--> DEKORACYJNEGO
HCNTYPSLJCL--> ORGANIZACJA
DXUVZVOCFQ--> POTRANATEM
JZIQOMJQUHAU--> ZAMIENNIKIEM
WORXJTW--> WIZYJNE
QANQOSIIO--> NAJLEPIEJ
LJTMGFETD--> DOCELOWYM
NQZITAQVMFLU--> KONFRONTACJI
FFRRBTQCHRBP--> ORGANIZOWANE
GYGJIFJDYI--> OCHRONNEGO
PHSXHFAGQC--> INSTALACJI
ZUMOKYIRWTCZ--> DOSTOSOWANIE
FKVQRBUHMW--> NINIEJSZEJ
RNKTNEFDP--> WSZYSTKIE
MNYQ--> KREM
DZJC--> KTOS
VPUG--> ZNAC
RFZU--> ALBO
KCKH--> RYBA
EDY--> LUB
CAS--> MUS
GHSK--> PLUS
WXZOE--> KROWA
FXSP--> OWCA
